x,y,height,momentum_x
0.5,0.5,9.99695,0.0302009
1.5,0.5,9.9895,0.103907
2.5,0.5,9.9703,0.293265
3.5,0.5,9.92935,0.695157
4.5,0.5,9.85537,1.41415
5.5,0.5,9.73957,2.52197
6.5,0.5,9.57866,4.02632
7.5,0.5,9.37542,5.86849
8.5,0.5,9.13725,7.94526
9.5,0.5,8.87401,10.137
10.5,0.5,8.59662,12.3283
11.5,0.5,8.31646,14.417
12.5,0.5,8.04564,16.3159
13.5,0.5,7.79751,17.9512
14.5,0.5,7.58645,19.2627
15.5,0.5,7.42566,20.2118
16.5,0.5,7.32176,20.8005
17.5,0.5,7.26914,21.089
18.5,0.5,7.25071,21.1848
19.5,0.5,7.24768,21.1947
20.5,0.5,7.24858,21.1822
21.5,0.5,7.24956,21.168
22.5,0.5,7.25013,21.1547
23.5,0.5,7.25035,21.1412
24.5,0.5,7.25017,21.1261
25.5,0.5,7.24921,21.1042
26.5,0.5,7.24577,21.0557
27.5,0.5,7.23381,20.912
28.5,0.5,7.19526,20.47
29.5,0.5,7.08589,19.2434
30.5,0.5,6.82656,16.4248
31.5,0.5,6.35607,11.6066
32.5,0.5,5.77668,6.20026
33.5,0.5,5.33043,2.46833
34.5,0.5,5.10935,0.78427
35.5,0.5,5.03012,0.212455
36.5,0.5,5.00715,0.0501556
37.5,0.5,5.00146,0.0102599
38.5,0.5,5.00026,0.00178837
39.5,0.5,5.00004,0.000259795
