x,y,height,momentum_x,bathymetry
125,125,0,0,20
375,125,20,-5.83948e-07,-20
625,125,20,-1.76556e-06,-20
875,125,20,-2.98812e-06,-20
1125,125,20,-4.27822e-06,-20
1375,125,20,-5.6614e-06,-20
1625,125,20,-7.1618e-06,-20
1875,125,20,-8.8017e-06,-20
2125,125,20,-1.06013e-05,-20
2375,125,20,-1.25781e-05,-20
2625,125,20,-1.47473e-05,-20
2875,125,20,-1.71207e-05,-20
3125,125,20,-1.97074e-05,-20
3375,125,20,-2.2513e-05,-20
3625,125,20,-2.554e-05,-20
3875,125,20,-2.87854e-05,-20
4125,125,21.0057,-2.67933e-05,-21.0057
4375,125,23.0257,-2.57575e-05,-23.0257
4625,125,24.3499,-2.92866e-05,-24.3499
4875,125,25.3049,2.22863e-05,-25.3049
5125,125,25.9802,0.000278386,-25.9802
5375,125,27.0447,0.000755008,-27.0448
5625,125,28.4557,0.00153564,-28.4558
5875,125,30.2338,0.00285032,-30.234
6125,125,32.9773,0.00401275,-32.9776
6375,125,35.284,0.00484445,-35.2843
6625,125,37.0543,0.00580854,-37.0547
6875,125,37.3773,0.00682072,-37.3778
7125,125,38.664,0.00787866,-38.6646
7375,125,40.226,0.00924804,-40.2267
7625,125,41.2587,0.0116166,-41.2595
7875,125,41.5225,0.0147201,-41.5234
8125,125,41.7921,0.0179032,-41.7932
8375,125,42.7929,0.0211626,-42.7942
8625,125,44.3577,0.0244632,-44.3591
8875,125,45.5218,0.0277547,-45.5234
9125,125,45.5217,0.031075,-45.5234
9375,125,46.3668,0.0345179,-46.3688
9625,125,48.3814,0.0380766,-48.3835
9875,125,52.1259,0.0417478,-52.1282
10125,125,53.4449,0.0455387,-53.4473
10375,125,54.6131,0.0498892,-54.6156
10625,125,55.9688,0.0551235,-55.9716
10875,125,57.9347,0.061516,-57.9378
11125,125,59.3298,0.0689109,-59.3332
11375,125,60.0393,0.0765479,-60.0429
11625,125,61.681,0.0842985,-61.685
11875,125,63.3445,0.0921306,-63.3487
12125,125,64.9801,0.0991283,-64.9847
12375,125,65.6895,0.105328,-65.6944
12625,125,68.4771,0.111538,-68.4823
12875,125,72.4912,0.117596,-72.4967
13125,125,73.2007,0.123415,-73.2065
13375,125,73.7101,0.12921,-73.7161
13625,125,74.3298,0.135296,-74.3361
13875,125,76.3317,0.141692,-76.3382
14125,125,77.7272,0.148317,-77.734
14375,125,79.1313,0.155367,-79.1383
14625,125,81.8111,0.162786,-81.8184
14875,125,83.5383,0.170285,-83.5458
15125,125,84.8863,0.1779,-84.894
15375,125,86.2102,0.185529,-86.2182
15625,125,87.8071,0.193292,-87.8154
15875,125,89.2957,0.201289,-89.3041
16125,125,90.3283,0.209267,-90.337
16375,125,91.9164,0.217583,-91.9254
16625,125,93.8495,0.227401,-93.8587
16875,125,96.2062,0.238576,-96.2157
17125,125,98.001,0.250264,-98.0109
17375,125,99.6989,0.263545,-99.7092
17625,125,101.377,0.279042,-101.388
17875,125,102.759,0.297211,-102.77
18125,125,104.401,0.319052,-104.413
18375,125,106.403,0.345448,-106.415
18625,125,108.122,0.377634,-108.135
18875,125,109.321,0.417375,-109.335
19125,125,109.991,0.467103,-110.008
19375,125,110.376,0.529423,-110.394
19625,125,111.288,0.607959,-111.309
19875,125,112.592,0.707121,-112.615
20125,125,113.234,0.831483,-113.261
20375,125,113.876,0.987558,-113.908
20625,125,114.725,1.18355,-114.762
20875,125,117.106,1.42671,-117.151
21125,125,119.05,1.72435,-119.103
21375,125,120.63,2.08731,-120.693
21625,125,121.618,2.52779,-121.694
21875,125,122.155,3.05882,-122.246
22125,125,122.556,3.69619,-122.665
22375,125,123.18,4.4561,-123.311
22625,125,123.584,5.3552,-123.741
22875,125,123.996,6.41331,-124.183
23125,125,124.639,7.65084,-124.861
23375,125,124.737,9.0879,-125
23625,125,124.906,10.7484,-125.217
23875,125,125.53,12.655,-125.895
24125,125,126.147,14.8278,-126.573
24375,125,126.755,17.2884,-127.25
24625,125,127.355,20.0559,-127.928
24875,125,127.339,23.1487,-128
25125,125,127.391,26.588,-128.149
25375,125,127.638,30.3897,-128.504
25625,125,128.15,34.5641,-129.134
25875,125,128.683,39.1201,-129.795
26125,125,129.222,44.061,-130.473
26375,125,129.751,49.3856,-131.151
26625,125,130.454,55.089,-132.013
26875,125,131.316,61.1583,-133.044
27125,125,132.139,67.5749,-134.046
27375,125,132.972,74.3141,-135.065
27625,125,133.778,81.3418,-136.064
27875,125,134.256,88.6182,-136.742
28125,125,134.728,96.1,-137.42
28375,125,135.098,103.728,-138
28625,125,134.885,111.439,-138
28875,125,134.887,119.163,-138.216
29125,125,134.936,126.805,-138.477
29375,125,134.728,134.261,-138.477
29625,125,134.528,141.411,-138.477
29875,125,134.341,148.113,-138.477
30125,125,134.17,154.203,-138.477
30375,125,134.271,159.488,-138.725
30625,125,134.38,163.751,-138.953
30875,125,134.296,166.746,-138.953
31125,125,134.256,168.202,-138.953
31375,125,134.269,167.819,-138.953
31625,125,134.343,165.281,-138.953
31875,125,134.487,160.264,-138.953
32125,125,134.838,152.46,-139.081
32375,125,135.468,141.607,-139.404
32625,125,136.514,127.532,-140.053
32875,125,137.374,110.191,-140.43
33125,125,137.943,89.6603,-140.43
33375,125,139.244,66.2103,-141.087
33625,125,140.29,40.3296,-141.43
33875,125,141.044,12.6431,-141.437
34125,125,142.166,-16.0839,-141.791
34375,125,143.46,-44.9862,-142.322
34625,125,144.852,-73.1872,-142.978
34875,125,145.898,-99.8944,-143.333
35125,125,147.265,-124.449,-144.072
35375,125,149.022,-146.356,-145.277
35625,125,152.201,-165.26,-147.989
35875,125,153.962,-180.982,-149.37
36125,125,154.861,-193.52,-149.972
36375,125,155.467,-202.963,-150.358
36625,125,156.448,-209.474,-151.194
36875,125,157.559,-213.27,-152.227
37125,125,158.609,-214.606,-153.259
37375,125,159.365,-213.757,-154.052
37625,125,159.793,-210.997,-154.562
37875,125,159.638,-206.583,-154.53
38125,125,160.553,-200.759,-155.601
38375,125,161.727,-193.763,-156.957
38625,125,162.88,-185.821,-158.313
38875,125,163.715,-177.136,-159.369
39125,125,164.364,-167.892,-160.25
39375,125,164.799,-158.253,-160.928
39625,125,165.23,-148.367,-161.606
39875,125,165.509,-138.369,-162.136
40125,125,165.582,-128.38,-162.459
40375,125,165.687,-118.504,-162.812
40625,125,166.119,-108.824,-163.485
40875,125,166.917,-99.4217,-164.518
41125,125,168.047,-90.3673,-165.872
41375,125,169.357,-81.7171,-167.396
41625,125,170.851,-73.5128,-169.09
41875,125,172.698,-65.7852,-171.124
42125,125,174.558,-58.5609,-173.158
42375,125,176.21,-51.8598,-174.969
42625,125,175.739,-45.6779,-174.646
42875,125,176.082,-40.002,-175.124
43125,125,177.428,-34.8154,-176.592
43375,125,181.743,-30.1112,-181.015
43625,125,183.563,-25.8738,-182.93
43875,125,184.156,-22.067,-183.608
44125,125,184.758,-18.6585,-184.286
44375,125,185.603,-15.6182,-185.197
44625,125,186.554,-12.9184,-186.206
44875,125,187.536,-10.5232,-187.238
45125,125,190.861,-8.40369,-190.607
45375,125,193.286,-6.53791,-193.068
45625,125,191.866,-4.8918,-191.68
45875,125,194.101,-3.43873,-193.943
46125,125,196.364,-2.16158,-196.23
46375,125,197.149,-1.03807,-197.036
46625,125,200.101,-0.0503176,-200.005
46875,125,202.373,0.815674,-202.292
47125,125,203.101,1.57504,-203.034
47375,125,205.525,2.23888,-205.47
47625,125,206.821,2.81696,-206.777
47875,125,206.52,3.31975,-206.485
48125,125,211.853,3.75477,-211.827
48375,125,215.738,4.12801,-215.72
48625,125,217.864,4.44523,-217.852
48875,125,215.082,4.71213,-215.077
49125,125,212.58,4.93385,-212.581
49375,125,210.634,5.1151,-210.64
49625,125,212.985,5.25968,-212.997
49875,125,220.826,5.37078,-220.842
50125,125,231.138,5.45134,-231.159
50375,125,232.071,5.50465,-232.096
50625,125,230.008,5.53515,-230.037
50875,125,226.637,5.54488,-226.669
51125,125,224.954,5.53635,-224.99
51375,125,224.663,5.51469,-224.701
51625,125,225.43,5.48299,-225.47
51875,125,227.784,5.44314,-227.827
52125,125,231.677,5.39563,-231.722
52375,125,235.463,5.3398,-235.51
52625,125,237.527,5.27582,-237.575
52875,125,240.079,5.20745,-240.129
53125,125,242.572,5.13615,-242.623
53375,125,244.669,5.06374,-244.721
53625,125,249.274,4.99097,-249.327
53875,125,252.482,4.91666,-252.535
54125,125,252.513,4.84182,-252.567
54375,125,254.075,4.76734,-254.129
54625,125,257.89,4.69394,-257.944
54875,125,264.575,4.62233,-264.629
55125,125,270.404,4.5524,-270.458
55375,125,274.41,4.48349,-274.463
55625,125,276.413,4.41787,-276.465
55875,125,275.429,4.35277,-275.481
56125,125,275.653,4.28029,-275.704
56375,125,277.054,4.20228,-277.105
56625,125,279.412,4.12302,-279.462
56875,125,283.516,4.04227,-283.565
57125,125,288.684,3.95925,-288.733
57375,125,291.397,3.87433,-291.445
57625,125,295.349,3.78808,-295.397
57875,125,299.985,3.70061,-300.031
58125,125,304.148,3.61324,-304.194
58375,125,310.064,3.52619,-310.109
58625,125,316.38,3.43548,-316.424
58875,125,320.771,3.3359,-320.815
59125,125,323.467,3.23116,-323.51
59375,125,325.99,3.12588,-326.033
59625,125,330.027,3.01725,-330.069
59875,125,332.498,2.89994,-332.541
60125,125,334.414,2.77503,-334.457
60375,125,336.125,2.6497,-336.168
60625,125,337.81,2.52826,-337.852
60875,125,339.845,2.41027,-339.887
61125,125,342.557,2.29338,-342.599
61375,125,345.269,2.17621,-345.311
61625,125,348.261,2.05906,-348.303
61875,125,351.682,1.94217,-351.724
62125,125,354.778,1.82515,-354.82
62375,125,357.729,1.70803,-357.771
62625,125,360.536,1.59091,-360.578
62875,125,366.162,1.47366,-366.204
63125,125,371.877,1.35632,-371.92
63375,125,377.514,1.24022,-377.556
63625,125,379.193,1.12862,-379.235
63875,125,379.958,1.0268,-380
64125,125,380.288,0.934894,-380.33
64375,125,385.034,0.849121,-385.075
64625,125,389.779,0.769274,-389.821
64875,125,394.444,0.696455,-394.486
65125,125,398.512,0.63044,-398.554
65375,125,402.809,0.572376,-402.85
65625,125,407.522,0.521926,-407.563
65875,125,413.656,0.479386,-413.696
66125,125,420.688,0.444862,-420.727
66375,125,427.229,0.419606,-427.267
66625,125,430.62,0.402846,-430.657
66875,125,434.011,0.396962,-434.047
67125,125,437.211,0.406283,-437.246
67375,125,439.892,0.427907,-439.926
67625,125,443.419,0.459944,-443.452
67875,125,447.165,0.502824,-447.196
68125,125,450.911,0.554564,-450.941
68375,125,454.904,0.616218,-454.932
68625,125,458.691,0.689092,-458.717
68875,125,462.051,0.774762,-462.075
69125,125,463.762,0.875673,-463.785
69375,125,465.225,0.987948,-465.246
69625,125,466.615,1.10939,-466.634
69875,125,467.7,1.23977,-467.716
70125,125,469.721,1.3795,-469.736
70375,125,472.822,1.5278,-472.834
70625,125,472.01,1.68511,-472.019
70875,125,473.842,1.85198,-473.849
71125,125,478.131,2.02646,-478.135
71375,125,482.234,2.20807,-482.235
71625,125,486.3,2.39695,-486.298
71875,125,490.473,2.59227,-490.468
72125,125,495.932,2.79287,-495.924
72375,125,501.171,2.99614,-501.16
72625,125,506.223,3.20548,-506.209
72875,125,510.972,3.42419,-510.955
73125,125,515.505,3.64107,-515.484
73375,125,519.862,3.85125,-519.838
73625,125,523.933,4.05965,-523.906
73875,125,528.236,4.26555,-528.206
74125,125,532.472,4.46979,-532.439
74375,125,536.22,4.67196,-536.184
74625,125,539.968,4.86525,-539.928
74875,125,543.706,5.0471,-543.664
75125,125,547.422,5.22299,-547.377
75375,125,551.164,5.39638,-551.115
75625,125,554.911,5.56819,-554.86
75875,125,558.658,5.74053,-558.605
76125,125,562.378,5.90743,-562.322
76375,125,565.966,6.05864,-565.907
76625,125,569.358,6.19997,-569.297
76875,125,573.373,6.3312,-573.31
77125,125,577.443,6.44822,-577.378
77375,125,581.512,6.55761,-581.446
77625,125,584.925,6.65448,-584.857
77875,125,588.651,6.73543,-588.582
78125,125,592.72,6.80904,-592.649
78375,125,596.789,6.86795,-596.717
78625,125,600.858,6.91343,-600.785
78875,125,604.926,6.94964,-604.853
79125,125,608.994,6.96768,-608.921
79375,125,613.063,6.97552,-612.988
79625,125,617.173,6.97249,-617.099
79875,125,621.596,6.95272,-621.521
80125,125,626.476,6.92655,-626.401
80375,125,631.783,6.89089,-631.709
80625,125,637.948,6.83905,-637.874
80875,125,644.271,6.78182,-644.197
81125,125,650.451,6.71778,-650.378
81375,125,655.874,6.6408,-655.801
81625,125,660.023,6.55682,-659.952
81875,125,664.013,6.47959,-663.943
82125,125,668.758,6.41696,-668.689
82375,125,676.965,6.35904,-676.897
82625,125,685.749,6.30002,-685.682
82875,125,693.852,6.24057,-693.786
83125,125,696.829,6.18221,-696.764
83375,125,700.114,6.12498,-700.051
83625,125,705.536,6.06652,-705.474
83875,125,708.851,6.00992,-708.79
84125,125,712.336,5.96438,-712.277
84375,125,716.402,5.93417,-716.344
84625,125,719.188,5.90827,-719.132
84875,125,721.413,5.88069,-721.359
85125,125,723.091,5.85151,-723.038
85375,125,725.153,5.82158,-725.101
85625,125,728.089,5.78604,-728.039
85875,125,731.892,5.74655,-731.844
86125,125,736.99,5.70981,-736.945
86375,125,744.038,5.6727,-743.994
86625,125,752.299,5.63503,-752.257
86875,125,758.076,5.59754,-758.035
87125,125,766.553,5.55928,-766.514
87375,125,775.812,5.51943,-775.775
87625,125,779.878,5.47701,-779.843
87875,125,788.028,5.42799,-787.995
88125,125,797.141,5.37319,-797.11
88375,125,801.885,5.31854,-801.856
88625,125,807.117,5.26476,-807.09
88875,125,812.121,5.21157,-812.095
89125,125,815.832,5.15842,-815.808
89375,125,820.338,5.10517,-820.316
89625,125,824.284,5.05383,-824.263
89875,125,826.316,5.00275,-826.297
90125,125,831.391,4.95346,-831.373
90375,125,835.979,4.90475,-835.963
90625,125,838.366,4.85441,-838.352
90875,125,843.701,4.80426,-843.688
91125,125,848.93,4.75247,-848.919
91375,125,853.32,4.69954,-853.31
91625,125,859.905,4.64646,-859.898
91875,125,865.334,4.59207,-865.328
92125,125,869.077,4.53634,-869.073
92375,125,876.451,4.48016,-876.448
92625,125,881.911,4.42329,-881.91
92875,125,885.359,4.36458,-885.359
93125,125,891.782,4.30408,-891.784
93375,125,897.291,4.24383,-897.295
93625,125,902.107,4.1835,-902.112
93875,125,907.884,4.12576,-907.891
94125,125,912.433,4.06841,-912.442
94375,125,916.472,4.00959,-916.482
94625,125,922.927,3.94784,-922.939
94875,125,926.968,3.87297,-926.982
95125,125,930.193,3.78889,-930.208
95375,125,935.938,3.70947,-935.955
95625,125,940.047,3.63507,-940.065
95875,125,943.881,3.5573,-943.901
96125,125,949.303,3.4765,-949.325
96375,125,952.971,3.39693,-952.994
96625,125,956.941,3.31957,-956.966
96875,125,963.364,3.24054,-963.39
97125,125,966.838,3.16295,-966.865
97375,125,970.415,3.08379,-970.444
97625,125,975.837,3.00189,-975.867
97875,125,979.542,2.92376,-979.573
98125,125,983.051,2.84472,-983.083
98375,125,986.762,2.76552,-986.796
98625,125,989.579,2.68997,-989.613
98875,125,992.574,2.61523,-992.609
99125,125,995.963,2.54042,-995.999
99375,125,997.43,2.46493,-997.468
99625,125,999.755,2.3888,-999.794
99875,125,1003.18,2.31445,-1003.22
100125,125,1005.57,2.2399,-1005.61
100375,125,1008.31,2.16416,-1008.35
100625,125,1011.34,2.09047,-1011.39
100875,125,1013.73,2.01532,-1013.78
101125,125,1017.66,1.94226,-1017.71
101375,125,1022.47,1.88307,-1022.52
101625,125,1024.51,1.84781,-1024.55
101875,125,1028.44,1.83377,-1028.49
102125,125,1033.14,1.81698,-1033.19
102375,125,1035.5,1.79743,-1035.55
102625,125,1036.73,1.80209,-1036.78
102875,125,1037.47,1.84159,-1037.52
103125,125,1038.48,1.89373,-1038.52
103375,125,1039.48,1.94083,-1039.52
103625,125,1040.48,1.98599,-1040.53
103875,125,1041.48,2.02963,-1041.53
104125,125,1043.8,2.07326,-1043.84
104375,125,1046.21,2.11977,-1046.26
104625,125,1047.92,2.17964,-1047.97
104875,125,1050.17,2.25663,-1050.21
105125,125,1052.18,2.33294,-1052.22
105375,125,1053.54,2.38988,-1053.58
105625,125,1055.48,2.4307,-1055.53
105875,125,1056.98,2.46484,-1057.03
106125,125,1057.66,2.50005,-1057.7
106375,125,1059.26,2.54091,-1059.3
106625,125,1060.49,2.58429,-1060.54
106875,125,1061.17,2.62867,-1061.21
107125,125,1062.51,2.68007,-1062.55
107375,125,1063.53,2.74104,-1063.57
107625,125,1064.22,2.80466,-1064.26
107875,125,1065.58,2.86699,-1065.62
108125,125,1066.2,2.93675,-1066.23
108375,125,1066.25,3.01239,-1066.28
108625,125,1066.93,3.08247,-1066.96
108875,125,1067.2,3.14671,-1067.23
109125,125,1067.17,3.21606,-1067.2
109375,125,1066.84,3.29285,-1066.87
109625,125,1066.5,3.36799,-1066.53
109875,125,1066.04,3.44563,-1066.06
110125,125,1065.04,3.52652,-1065.06
110375,125,1064.06,3.60788,-1064.08
110625,125,1062.94,3.68162,-1062.96
110875,125,1061.26,3.74441,-1061.28
111125,125,1060.09,3.80379,-1060.11
111375,125,1058.72,3.85471,-1058.74
111625,125,1056.36,3.89149,-1056.38
111875,125,1054.78,3.92055,-1054.8
112125,125,1052.75,3.94705,-1052.77
112375,125,1049.36,3.97119,-1049.38
112625,125,1047.42,3.98941,-1047.43
112875,125,1044.11,4.00326,-1044.12
113125,125,1038.01,4.01538,-1038.02
113375,125,1025.52,4.02678,-1025.54
113625,125,1014.56,4.05452,-1014.57
113875,125,1006.75,4.09593,-1006.76
114125,125,1002.14,4.13341,-1002.15
114375,125,995.521,4.1692,-995.53
114625,125,986.417,4.20429,-986.426
114875,125,998.76,4.2375,-998.769
115125,125,1006.34,4.26759,-1006.35
115375,125,1009.19,4.28564,-1009.2
115625,125,1007.39,4.28867,-1007.39
115875,125,1007.38,4.28466,-1007.39
116125,125,1008.26,4.26631,-1008.26
116375,125,1004.51,4.23407,-1004.52
116625,125,1001.45,4.19827,-1001.45
116875,125,998.552,4.15604,-998.558
117125,125,994.193,4.09957,-994.199
117375,125,988.429,4.03246,-988.435
117625,125,981.91,3.95891,-981.916
117875,125,975.13,3.87115,-975.136
118125,125,968.746,3.76957,-968.753
118375,125,962.965,3.66356,-962.974
118625,125,958.574,3.55579,-958.583
118875,125,953.114,3.43718,-953.124
119125,125,947.734,3.30547,-947.745
119375,125,943.31,3.16841,-943.322
119625,125,938.04,3.02423,-938.053
119875,125,933.762,2.86443,-933.776
120125,125,931.727,2.69728,-931.742
120375,125,929.411,2.52964,-929.427
120625,125,927.587,2.35764,-927.605
120875,125,926.585,2.18362,-926.604
121125,125,928.105,2.01074,-928.126
121375,125,929.675,1.83619,-929.696
121625,125,931.029,1.66013,-931.052
121875,125,935.732,1.48404,-935.756
122125,125,939.183,1.30804,-939.209
122375,125,941.314,1.13249,-941.341
122625,125,946.8,0.956794,-946.828
122875,125,950.793,0.779951,-950.822
123125,125,953.557,0.600513,-953.588
123375,125,956.623,0.420124,-956.655
123625,125,958.498,0.241961,-958.531
123875,125,959.392,0.0634211,-959.426
124125,125,959.036,-0.117805,-959.072
124375,125,977.826,-0.294947,-977.862
124625,125,1000.32,-0.462322,-1000.36
124875,125,989.221,-0.622874,-989.259
125125,125,969.732,-0.781641,-969.771
125375,125,950.149,-0.935857,-950.19
