x,y,height,momentum_x
0.5,0.5,8.649,11.909
1.5,0.5,8.4814,13.1991
2.5,0.5,8.31485,14.436
3.5,0.5,8.15166,15.6039
4.5,0.5,7.99432,16.6884
5.5,0.5,7.8456,17.6755
6.5,0.5,7.70858,18.5521
7.5,0.5,7.58655,19.306
8.5,0.5,7.48271,19.9275
9.5,0.5,7.39956,20.4117
10.5,0.5,7.3381,20.7617
11.5,0.5,7.29711,20.9909
12.5,0.5,7.27313,21.1231
13.5,0.5,7.2613,21.1871
14.5,0.5,7.25674,21.2106
15.5,0.5,7.25572,21.2145
16.5,0.5,7.25604,21.2109
17.5,0.5,7.25666,21.2055
18.5,0.5,7.25726,21.2001
19.5,0.5,7.25774,21.1952
20.5,0.5,7.25814,21.1907
21.5,0.5,7.25845,21.1865
22.5,0.5,7.2587,21.1825
23.5,0.5,7.25889,21.1786
24.5,0.5,7.25903,21.1748
25.5,0.5,7.25912,21.1711
26.5,0.5,7.25917,21.1673
27.5,0.5,7.25918,21.1634
28.5,0.5,7.25914,21.1594
29.5,0.5,7.25907,21.1553
30.5,0.5,7.25895,21.1509
31.5,0.5,7.25876,21.1463
32.5,0.5,7.25847,21.1416
33.5,0.5,7.25792,21.1371
34.5,0.5,7.25678,21.1336
35.5,0.5,7.25444,21.1309
36.5,0.5,7.2501,21.1238
37.5,0.5,7.24266,21.0912
38.5,0.5,7.22915,20.9791
39.5,0.5,7.20019,20.6681
