x,y,height,momentum_x,bathymetry
0.05,0.05,0.369095,0.124748,-0.33
0.15,0.05,0.369095,0.124748,-0.33
0.25,0.05,0.369095,0.124748,-0.33
0.35,0.05,0.369095,0.124748,-0.33
0.45,0.05,0.369095,0.124748,-0.33
0.55,0.05,0.369095,0.124748,-0.33
0.65,0.05,0.369095,0.124748,-0.33
0.75,0.05,0.369095,0.124748,-0.33
0.85,0.05,0.369095,0.124748,-0.33
0.95,0.05,0.369095,0.124748,-0.33
1.05,0.05,0.369095,0.124748,-0.33
1.15,0.05,0.369095,0.124748,-0.33
1.25,0.05,0.369095,0.124748,-0.33
1.35,0.05,0.369095,0.124748,-0.33
1.45,0.05,0.369095,0.124748,-0.33
1.55,0.05,0.369095,0.124748,-0.33
1.65,0.05,0.369095,0.124748,-0.33
1.75,0.05,0.369095,0.124748,-0.33
1.85,0.05,0.369095,0.124748,-0.33
1.95,0.05,0.369095,0.124748,-0.33
2.05,0.05,0.369095,0.124748,-0.33
2.15,0.05,0.369095,0.124748,-0.33
2.25,0.05,0.369095,0.124748,-0.33
2.35,0.05,0.369095,0.124748,-0.33
2.45,0.05,0.369095,0.124748,-0.33
2.55,0.05,0.369095,0.124748,-0.33
2.65,0.05,0.369095,0.124748,-0.33
2.75,0.05,0.369095,0.124748,-0.33
2.85,0.05,0.369095,0.124748,-0.33
2.95,0.05,0.369095,0.124748,-0.33
3.05,0.05,0.369095,0.124748,-0.33
3.15,0.05,0.369095,0.124748,-0.33
3.25,0.05,0.369095,0.124748,-0.33
3.35,0.05,0.369095,0.124748,-0.33
3.45,0.05,0.369095,0.124748,-0.33
3.55,0.05,0.369095,0.124748,-0.33
3.65,0.05,0.369095,0.124748,-0.33
3.75,0.05,0.369095,0.124748,-0.33
3.85,0.05,0.369095,0.124749,-0.33
3.95,0.05,0.369095,0.124749,-0.33
4.05,0.05,0.369095,0.124749,-0.33
4.15,0.05,0.369095,0.124749,-0.33
4.25,0.05,0.369095,0.124749,-0.33
4.35,0.05,0.369095,0.124749,-0.33
4.45,0.05,0.369095,0.124749,-0.33
4.55,0.05,0.369095,0.124749,-0.33
4.65,0.05,0.369095,0.124749,-0.33
4.75,0.05,0.369095,0.124749,-0.33
4.85,0.05,0.369095,0.124749,-0.33
4.95,0.05,0.369095,0.124749,-0.33
5.05,0.05,0.369095,0.124749,-0.33
5.15,0.05,0.369095,0.124749,-0.33
5.25,0.05,0.369095,0.124749,-0.33
5.35,0.05,0.369095,0.124749,-0.33
5.45,0.05,0.369095,0.124749,-0.33
5.55,0.05,0.369095,0.124749,-0.33
5.65,0.05,0.369095,0.124749,-0.33
5.75,0.05,0.369095,0.124749,-0.33
5.85,0.05,0.369095,0.124749,-0.33
5.95,0.05,0.369095,0.124749,-0.33
6.05,0.05,0.369095,0.124749,-0.33
6.15,0.05,0.369095,0.124749,-0.33
6.25,0.05,0.369095,0.124749,-0.33
6.35,0.05,0.369095,0.124749,-0.33
6.45,0.05,0.369095,0.124749,-0.33
6.55,0.05,0.369095,0.124749,-0.33
6.65,0.05,0.369095,0.124749,-0.33
6.75,0.05,0.369095,0.124749,-0.33
6.85,0.05,0.369095,0.124749,-0.33
6.95,0.05,0.369095,0.124749,-0.33
7.05,0.05,0.369095,0.124749,-0.33
7.15,0.05,0.369095,0.124749,-0.33
7.25,0.05,0.369095,0.124749,-0.33
7.35,0.05,0.369095,0.124749,-0.33
7.45,0.05,0.369095,0.124749,-0.33
7.55,0.05,0.369095,0.124749,-0.33
7.65,0.05,0.369095,0.124749,-0.33
7.75,0.05,0.369095,0.124749,-0.33
7.85,0.05,0.369095,0.124749,-0.33
7.95,0.05,0.369095,0.124749,-0.33
8.05,0.05,0.369095,0.124749,-0.33
8.15,0.05,0.348902,0.124749,-0.3105
8.25,0.05,0.329618,0.124749,-0.292
8.35,0.05,0.31123,0.124749,-0.2745
8.45,0.05,0.293725,0.124749,-0.258
8.55,0.05,0.277089,0.124749,-0.2425
8.65,0.05,0.261304,0.124749,-0.228
8.75,0.05,0.246352,0.124749,-0.2145
8.85,0.05,0.232212,0.124749,-0.202
8.95,0.05,0.218864,0.124749,-0.1905
9.05,0.05,0.206284,0.124749,-0.18
9.15,0.05,0.194447,0.124749,-0.1705
9.25,0.05,0.183326,0.124749,-0.162
9.35,0.05,0.172893,0.124749,-0.1545
9.45,0.05,0.16312,0.124749,-0.148
9.55,0.05,0.153976,0.124749,-0.1425
9.65,0.05,0.145431,0.124749,-0.138
9.75,0.05,0.137454,0.124749,-0.1345
9.85,0.05,0.130013,0.124749,-0.132
9.95,0.05,0.123079,0.124749,-0.1305
10.05,0.05,0.1168,0.124749,-0.13
10.15,0.05,0.110592,0.124749,-0.1305
10.25,0.05,0.104993,0.124749,-0.132
10.35,0.05,0.099779,0.124749,-0.1345
10.45,0.05,0.0949248,0.124749,-0.138
10.55,0.05,0.0904048,0.124749,-0.1425
10.65,0.05,0.0861946,0.124749,-0.148
10.75,0.05,0.0822711,0.124749,-0.1545
10.85,0.05,0.078613,0.124749,-0.162
10.95,0.05,0.0751999,0.124749,-0.1705
11.05,0.05,0.0720132,0.124749,-0.18
11.15,0.05,0.0690354,0.124749,-0.1905
11.25,0.05,0.0662506,0.124749,-0.202
11.35,0.05,0.0636436,0.124749,-0.2145
11.45,0.05,0.061201,0.124749,-0.228
11.55,0.05,0.175443,0.146742,-0.2425
11.65,0.05,0.22637,0.12475,-0.258
11.75,0.05,0.245147,0.12475,-0.2745
11.85,0.05,0.264506,0.12475,-0.292
11.95,0.05,0.284546,0.12475,-0.3105
12.05,0.05,0.305333,0.12475,-0.33
12.15,0.05,0.305333,0.12475,-0.33
12.25,0.05,0.305333,0.124751,-0.33
12.35,0.05,0.305333,0.124751,-0.33
12.45,0.05,0.305333,0.124751,-0.33
12.55,0.05,0.305333,0.124751,-0.33
12.65,0.05,0.305333,0.124751,-0.33
12.75,0.05,0.305333,0.124751,-0.33
12.85,0.05,0.305333,0.124751,-0.33
12.95,0.05,0.305333,0.124751,-0.33
13.05,0.05,0.305333,0.124751,-0.33
13.15,0.05,0.305333,0.124751,-0.33
13.25,0.05,0.305333,0.124751,-0.33
13.35,0.05,0.305333,0.124751,-0.33
13.45,0.05,0.305333,0.124752,-0.33
13.55,0.05,0.305333,0.124752,-0.33
13.65,0.05,0.305333,0.124752,-0.33
13.75,0.05,0.305333,0.124752,-0.33
13.85,0.05,0.305333,0.124752,-0.33
13.95,0.05,0.305333,0.124752,-0.33
14.05,0.05,0.305333,0.124752,-0.33
14.15,0.05,0.305333,0.124752,-0.33
14.25,0.05,0.305333,0.124752,-0.33
14.35,0.05,0.305333,0.124752,-0.33
14.45,0.05,0.305333,0.124752,-0.33
14.55,0.05,0.305333,0.124752,-0.33
14.65,0.05,0.305333,0.124753,-0.33
14.75,0.05,0.305333,0.124753,-0.33
14.85,0.05,0.305333,0.124753,-0.33
14.95,0.05,0.305333,0.124753,-0.33
15.05,0.05,0.305333,0.124753,-0.33
15.15,0.05,0.305333,0.124753,-0.33
15.25,0.05,0.305333,0.124753,-0.33
15.35,0.05,0.305333,0.124753,-0.33
15.45,0.05,0.305333,0.124753,-0.33
15.55,0.05,0.305333,0.124753,-0.33
15.65,0.05,0.305333,0.124753,-0.33
15.75,0.05,0.305333,0.124753,-0.33
15.85,0.05,0.305333,0.124753,-0.33
15.95,0.05,0.305333,0.124754,-0.33
16.05,0.05,0.305333,0.124754,-0.33
16.15,0.05,0.305333,0.124754,-0.33
16.25,0.05,0.305333,0.124754,-0.33
16.35,0.05,0.305333,0.124754,-0.33
16.45,0.05,0.305333,0.124754,-0.33
16.55,0.05,0.305333,0.124754,-0.33
16.65,0.05,0.305333,0.124754,-0.33
16.75,0.05,0.305333,0.124754,-0.33
16.85,0.05,0.305333,0.124754,-0.33
16.95,0.05,0.305333,0.124754,-0.33
17.05,0.05,0.305333,0.124754,-0.33
17.15,0.05,0.305333,0.124754,-0.33
17.25,0.05,0.305333,0.124754,-0.33
17.35,0.05,0.305333,0.124754,-0.33
17.45,0.05,0.305333,0.124754,-0.33
17.55,0.05,0.305333,0.124754,-0.33
17.65,0.05,0.305333,0.124754,-0.33
17.75,0.05,0.305333,0.124754,-0.33
17.85,0.05,0.305333,0.124754,-0.33
17.95,0.05,0.305333,0.124754,-0.33
18.05,0.05,0.305333,0.124754,-0.33
18.15,0.05,0.305333,0.124754,-0.33
18.25,0.05,0.305333,0.124754,-0.33
18.35,0.05,0.305333,0.124754,-0.33
18.45,0.05,0.305333,0.124754,-0.33
18.55,0.05,0.305333,0.124754,-0.33
18.65,0.05,0.305333,0.124754,-0.33
18.75,0.05,0.305333,0.124754,-0.33
18.85,0.05,0.305333,0.124754,-0.33
18.95,0.05,0.305333,0.124754,-0.33
19.05,0.05,0.305333,0.124754,-0.33
19.15,0.05,0.305333,0.124754,-0.33
19.25,0.05,0.305333,0.124754,-0.33
19.35,0.05,0.305333,0.124754,-0.33
19.45,0.05,0.305333,0.124754,-0.33
19.55,0.05,0.305333,0.124754,-0.33
19.65,0.05,0.305333,0.124754,-0.33
19.75,0.05,0.305333,0.124754,-0.33
19.85,0.05,0.305333,0.124754,-0.33
19.95,0.05,0.305333,0.124754,-0.33
20.05,0.05,0.305333,0.124754,-0.33
20.15,0.05,0.305333,0.124754,-0.33
20.25,0.05,0.305333,0.124753,-0.33
20.35,0.05,0.305333,0.124753,-0.33
20.45,0.05,0.305333,0.124753,-0.33
20.55,0.05,0.305333,0.124753,-0.33
20.65,0.05,0.305333,0.124753,-0.33
20.75,0.05,0.305333,0.124753,-0.33
20.85,0.05,0.305333,0.124753,-0.33
20.95,0.05,0.305333,0.124753,-0.33
21.05,0.05,0.305333,0.124753,-0.33
21.15,0.05,0.305333,0.124753,-0.33
21.25,0.05,0.305333,0.124753,-0.33
21.35,0.05,0.305333,0.124753,-0.33
21.45,0.05,0.305333,0.124753,-0.33
21.55,0.05,0.305333,0.124753,-0.33
21.65,0.05,0.305333,0.124753,-0.33
21.75,0.05,0.305333,0.124753,-0.33
21.85,0.05,0.305332,0.124753,-0.33
21.95,0.05,0.305332,0.124753,-0.33
22.05,0.05,0.305332,0.124753,-0.33
22.15,0.05,0.305332,0.124753,-0.33
22.25,0.05,0.305332,0.124753,-0.33
22.35,0.05,0.305332,0.124752,-0.33
22.45,0.05,0.305332,0.124752,-0.33
22.55,0.05,0.305332,0.124752,-0.33
22.65,0.05,0.305332,0.124752,-0.33
22.75,0.05,0.305332,0.124752,-0.33
22.85,0.05,0.305332,0.124752,-0.33
22.95,0.05,0.305332,0.124752,-0.33
23.05,0.05,0.305332,0.124752,-0.33
23.15,0.05,0.305332,0.124752,-0.33
23.25,0.05,0.305332,0.124752,-0.33
23.35,0.05,0.305332,0.124752,-0.33
23.45,0.05,0.305332,0.124752,-0.33
23.55,0.05,0.305332,0.124752,-0.33
23.65,0.05,0.305332,0.124751,-0.33
23.75,0.05,0.305332,0.124751,-0.33
23.85,0.05,0.305332,0.124751,-0.33
23.95,0.05,0.305331,0.124751,-0.33
24.05,0.05,0.305331,0.124751,-0.33
24.15,0.05,0.305331,0.124751,-0.33
24.25,0.05,0.305331,0.124751,-0.33
24.35,0.05,0.305331,0.124751,-0.33
24.45,0.05,0.305331,0.124751,-0.33
24.55,0.05,0.305331,0.124751,-0.33
24.65,0.05,0.305331,0.124751,-0.33
24.75,0.05,0.305331,0.124751,-0.33
24.85,0.05,0.305331,0.124751,-0.33
24.95,0.05,0.305331,0.124751,-0.33
