x,y,height,momentum_x
0.5,0.5,0.930642,-1.6563
1.5,0.5,0.898531,-1.50517
2.5,0.5,0.863949,-1.34829
3.5,0.5,0.828084,-1.19207
4.5,0.5,0.791688,-1.04041
5.5,0.5,0.755238,-0.895608
6.5,0.5,0.719059,-0.759039
7.5,0.5,0.683393,-0.631553
8.5,0.5,0.648457,-0.513721
9.5,0.5,0.61449,-0.405994
10.5,0.5,0.581796,-0.308835
11.5,0.5,0.550819,-0.222823
12.5,0.5,0.522225,-0.148771
13.5,0.5,0.496999,-0.0877933
14.5,0.5,0.476449,-0.0412423
15.5,0.5,0.461919,-0.0101935
16.5,0.5,0.453972,0.0057821
17.5,0.5,0.451482,0.009958
18.5,0.5,0.451897,0.00787101
19.5,0.5,0.452878,0.00433166
20.5,0.5,0.453419,0.00131866
21.5,0.5,0.453419,-0.00131871
22.5,0.5,0.452878,-0.00433169
23.5,0.5,0.451897,-0.00787104
24.5,0.5,0.451482,-0.009958
25.5,0.5,0.453972,-0.00578203
26.5,0.5,0.461919,0.0101935
27.5,0.5,0.476449,0.0412423
28.5,0.5,0.496999,0.0877932
29.5,0.5,0.522225,0.14877
30.5,0.5,0.550819,0.222823
31.5,0.5,0.581796,0.308835
32.5,0.5,0.61449,0.405994
33.5,0.5,0.648457,0.513721
34.5,0.5,0.683393,0.631554
35.5,0.5,0.719059,0.759039
36.5,0.5,0.755238,0.895608
37.5,0.5,0.791686,1.04041
38.5,0.5,0.828071,1.19209
39.5,0.5,0.863887,1.34837
