x,y,height,momentum_x
0.5,0.5,3.99991,-0.799408
1.5,0.5,3.99962,-0.797519
2.5,0.5,3.99871,-0.791659
3.5,0.5,3.99642,-0.776874
4.5,0.5,3.99162,-0.745947
5.5,0.5,3.98315,-0.691497
6.5,0.5,3.97039,-0.609765
7.5,0.5,3.95378,-0.504006
8.5,0.5,3.93497,-0.385043
9.5,0.5,3.91637,-0.268164
10.5,0.5,3.9003,-0.167855
11.5,0.5,3.88824,-0.0929935
12.5,0.5,3.88046,-0.0448261
13.5,0.5,3.87618,-0.0184153
14.5,0.5,3.8742,-0.0062503
15.5,0.5,3.87345,-0.00163385
16.5,0.5,3.87322,-0.000237937
17.5,0.5,3.87317,6.71396e-05
18.5,0.5,3.87316,8.78159e-05
19.5,0.5,3.87316,5.70211e-05
20.5,0.5,3.87316,2.02816e-05
21.5,0.5,3.87316,-1.79168e-05
22.5,0.5,3.87316,-5.60286e-05
23.5,0.5,3.87316,-8.7899e-05
24.5,0.5,3.87317,-6.63522e-05
25.5,0.5,3.87322,0.00023828
26.5,0.5,3.87345,0.00163319
27.5,0.5,3.8742,0.00624883
28.5,0.5,3.87618,0.0184141
29.5,0.5,3.88046,0.0448273
30.5,0.5,3.88824,0.0929947
31.5,0.5,3.9003,0.167855
32.5,0.5,3.91637,0.268163
33.5,0.5,3.93497,0.385041
34.5,0.5,3.95378,0.504005
35.5,0.5,3.97039,0.609764
36.5,0.5,3.98315,0.691497
37.5,0.5,3.99162,0.745947
38.5,0.5,3.99642,0.776874
39.5,0.5,3.99871,0.79166
