x,y,height,momentum_x
0.5,0.5,19.9927,0.102794
1.5,0.5,19.975,0.349729
2.5,0.5,19.9301,0.975533
3.5,0.5,19.8356,2.28466
4.5,0.5,19.6672,4.59314
5.5,0.5,19.4064,8.10355
6.5,0.5,19.0468,12.8204
7.5,0.5,18.5938,18.5573
8.5,0.5,18.0611,25.0127
9.5,0.5,17.4653,31.8552
10.5,0.5,16.823,38.7823
11.5,0.5,16.1486,45.546
12.5,0.5,15.454,51.9561
13.5,0.5,14.7492,57.8727
14.5,0.5,14.0432,63.1947
15.5,0.5,13.3452,67.8481
16.5,0.5,12.6677,71.7755
17.5,0.5,12.0317,74.9235
18.5,0.5,11.4779,77.2305
19.5,0.5,11.0811,78.6226
20.5,0.5,10.9176,79.1089
21.5,0.5,10.9251,79.0411
22.5,0.5,10.9437,78.9317
23.5,0.5,10.9543,78.838
24.5,0.5,10.96,78.7478
25.5,0.5,10.9621,78.6488
26.5,0.5,10.9602,78.5145
27.5,0.5,10.9493,78.2441
28.5,0.5,10.9058,77.4226
29.5,0.5,10.7401,74.5034
30.5,0.5,10.1739,64.9331
31.5,0.5,8.71868,42.4397
32.5,0.5,6.64207,15.6009
33.5,0.5,5.38578,3.00801
34.5,0.5,5.05911,0.422265
35.5,0.5,5.00764,0.0536551
36.5,0.5,5.0009,0.00628076
37.5,0.5,5.00009,0.000662614
38.5,0.5,5.00001,6.1819e-05
39.5,0.5,5,5.19903e-06
