x,y,height,momentum_x
0.5,0.5,4.00017,0.798959
1.5,0.5,4.00066,0.796006
2.5,0.5,4.00208,0.787372
3.5,0.5,4.00553,0.766436
4.5,0.5,4.01252,0.723845
5.5,0.5,4.02448,0.650794
6.5,0.5,4.04167,0.545106
7.5,0.5,4.06245,0.416409
8.5,0.5,4.08354,0.284851
9.5,0.5,4.10149,0.172037
10.5,0.5,4.11435,0.0907684
11.5,0.5,4.12212,0.041485
12.5,0.5,4.12608,0.0163157
13.5,0.5,4.12778,0.00551828
14.5,0.5,4.12838,0.00164689
15.5,0.5,4.12856,0.000489329
16.5,0.5,4.12861,0.000187474
17.5,0.5,4.12862,0.000100515
18.5,0.5,4.12862,5.79635e-05
19.5,0.5,4.12862,2.07616e-05
20.5,0.5,4.12862,-1.62357e-05
21.5,0.5,4.12862,-5.37586e-05
22.5,0.5,4.12862,-9.8638e-05
23.5,0.5,4.12861,-0.000186695
24.5,0.5,4.12856,-0.000490553
25.5,0.5,4.12838,-0.00165034
26.5,0.5,4.12778,-0.0055209
27.5,0.5,4.12608,-0.0163169
28.5,0.5,4.12212,-0.0414862
29.5,0.5,4.11435,-0.0907696
30.5,0.5,4.10149,-0.172037
31.5,0.5,4.08354,-0.284851
32.5,0.5,4.06245,-0.416409
33.5,0.5,4.04167,-0.545106
34.5,0.5,4.02448,-0.650794
35.5,0.5,4.01252,-0.723845
36.5,0.5,4.00553,-0.766436
37.5,0.5,4.00208,-0.787372
38.5,0.5,4.00066,-0.796006
39.5,0.5,4.00017,-0.798959
