sim_time,name,x,y,height,momentum_x,momentum_y,bathymetry
0,gauge_9,10.36,13.8,0.186551,0,0,-0.186551
0.000241999,gauge_9,10.36,13.8,0.186551,1.35227e-11,-4.50758e-12,-0.186551
0.000483998,gauge_9,10.36,13.8,0.186551,2.70303e-11,-9.01738e-12,-0.186551
0.000725997,gauge_9,10.36,13.8,0.186551,4.05225e-11,-1.35293e-11,-0.186551
0.000967996,gauge_9,10.36,13.8,0.186551,5.39995e-11,-1.80434e-11,-0.186551
0.00121,gauge_9,10.36,13.8,0.186551,6.7461e-11,-2.25594e-11,-0.186551
0.00145199,gauge_9,10.36,13.8,0.186551,8.09072e-11,-2.70774e-11,-0.186551
0.00169399,gauge_9,10.36,13.8,0.186551,9.43378e-11,-3.15972e-11,-0.186551
0.00193599,gauge_9,10.36,13.8,0.186551,1.07753e-10,-3.61189e-11,-0.186551
0.00217799,gauge_9,10.36,13.8,0.186551,1.21153e-10,-4.06423e-11,-0.186551
0.00241999,gauge_9,10.36,13.8,0.186551,1.34537e-10,-4.51674e-11,-0.186551
0.00266199,gauge_9,10.36,13.8,0.186551,1.47905e-10,-4.96941e-11,-0.186551
0.00290399,gauge_9,10.36,13.8,0.186551,1.61258e-10,-5.42224e-11,-0.186551
0.00314599,gauge_9,10.36,13.8,0.186551,1.74595e-10,-5.87521e-11,-0.186551
0.00338799,gauge_9,10.36,13.8,0.186551,1.87916e-10,-6.32833e-11,-0.186551
0.00362999,gauge_9,10.36,13.8,0.186551,2.01221e-10,-6.78158e-11,-0.186551
0.00387198,gauge_9,10.36,13.8,0.186551,2.14511e-10,-7.23497e-11,-0.186551
0.00411398,gauge_9,10.36,13.8,0.186551,2.27785e-10,-7.68847e-11,-0.186551
0.00435598,gauge_9,10.36,13.8,0.186551,2.41042e-10,-8.1421e-11,-0.186551
0.00459798,gauge_9,10.36,13.8,0.186551,2.54284e-10,-8.59583e-11,-0.186551
0.00483998,gauge_9,10.36,13.8,0.186551,2.6751e-10,-9.04967e-11,-0.186551
0.00508198,gauge_9,10.36,13.8,0.186551,2.8072e-10,-9.50361e-11,-0.186551
0.00532398,gauge_9,10.36,13.8,0.186551,2.93913e-10,-9.95764e-11,-0.186551
0.00556598,gauge_9,10.36,13.8,0.186551,3.07091e-10,-1.04118e-10,-0.186551
0.00580798,gauge_9,10.36,13.8,0.186551,3.20252e-10,-1.0866e-10,-0.186551
0.00604998,gauge_9,10.36,13.8,0.186551,3.33398e-10,-1.13202e-10,-0.186551
0.00629197,gauge_9,10.36,13.8,0.186551,3.46527e-10,-1.17746e-10,-0.186551
0.00653397,gauge_9,10.36,13.8,0.186551,3.5964e-10,-1.2229e-10,-0.186551
0.00677597,gauge_9,10.36,13.8,0.186551,3.72736e-10,-1.26834e-10,-0.186551
0.00701797,gauge_9,10.36,13.8,0.186551,3.85816e-10,-1.3138e-10,-0.186551
0.00725997,gauge_9,10.36,13.8,0.186551,3.9888e-10,-1.35925e-10,-0.186551
0.00750197,gauge_9,10.36,13.8,0.186551,4.11928e-10,-1.40471e-10,-0.186551
0.00774397,gauge_9,10.36,13.8,0.186551,4.24959e-10,-1.45018e-10,-0.186551
0.00798597,gauge_9,10.36,13.8,0.186551,4.37974e-10,-1.49564e-10,-0.186551
0.00822797,gauge_9,10.36,13.8,0.186551,4.50972e-10,-1.54111e-10,-0.186551
0.00846997,gauge_9,10.36,13.8,0.186551,4.63954e-10,-1.58658e-10,-0.186551
0.00871196,gauge_9,10.36,13.8,0.186551,4.76919e-10,-1.63206e-10,-0.186551
0.00895396,gauge_9,10.36,13.8,0.186551,4.89868e-10,-1.67753e-10,-0.186551
0.00919596,gauge_9,10.36,13.8,0.186551,5.028e-10,-1.723e-10,-0.186551
0.00943796,gauge_9,10.36,13.8,0.186551,5.15716e-10,-1.76848e-10,-0.186551
0.00967996,gauge_9,10.36,13.8,0.186551,5.28615e-10,-1.81395e-10,-0.186551
0.00992196,gauge_9,10.36,13.8,0.186551,5.41497e-10,-1.85942e-10,-0.186551
0.010164,gauge_9,10.36,13.8,0.186551,5.54363e-10,-1.90489e-10,-0.186551
0.010406,gauge_9,10.36,13.8,0.186551,5.67212e-10,-1.95035e-10,-0.186551
0.010648,gauge_9,10.36,13.8,0.186551,5.80045e-10,-1.99582e-10,-0.186551
0.01089,gauge_9,10.36,13.8,0.186551,5.9286e-10,-2.04128e-10,-0.186551
0.0111319,gauge_9,10.36,13.8,0.186551,6.05659e-10,-2.08673e-10,-0.186551
0.0113739,gauge_9,10.36,13.8,0.186551,6.18441e-10,-2.13218e-10,-0.186551
0.0116159,gauge_9,10.36,13.8,0.186551,6.31207e-10,-2.17763e-10,-0.186551
0.0118579,gauge_9,10.36,13.8,0.186551,6.43955e-10,-2.22307e-10,-0.186551
0.0120999,gauge_9,10.36,13.8,0.186551,6.56687e-10,-2.26851e-10,-0.186551
0.0123419,gauge_9,10.36,13.8,0.186551,6.69402e-10,-2.31393e-10,-0.186551
0.0125839,gauge_9,10.36,13.8,0.186551,6.821e-10,-2.35936e-10,-0.186551
0.0128259,gauge_9,10.36,13.8,0.186551,6.94781e-10,-2.40477e-10,-0.186551
0.0130679,gauge_9,10.36,13.8,0.186551,7.07445e-10,-2.45018e-10,-0.186551
0.0133099,gauge_9,10.36,13.8,0.186551,7.20093e-10,-2.49557e-10,-0.186551
0.0135519,gauge_9,10.36,13.8,0.186551,7.32723e-10,-2.54096e-10,-0.186551
0.0137939,gauge_9,10.36,13.8,0.186551,7.45336e-10,-2.58634e-10,-0.186551
0.0140359,gauge_9,10.36,13.8,0.186551,7.57933e-10,-2.63171e-10,-0.186551
0.0142779,gauge_9,10.36,13.8,0.186551,7.70512e-10,-2.67707e-10,-0.186551
0.0145199,gauge_9,10.36,13.8,0.186551,7.83075e-10,-2.72242e-10,-0.186551
0.0147619,gauge_9,10.36,13.8,0.186551,7.9562e-10,-2.76776e-10,-0.186551
0.0150039,gauge_9,10.36,13.8,0.186551,8.08149e-10,-2.81308e-10,-0.186551
0.0152459,gauge_9,10.36,13.8,0.186551,8.2066e-10,-2.8584e-10,-0.186551
0.0154879,gauge_9,10.36,13.8,0.186551,8.33155e-10,-2.9037e-10,-0.186551
0.0157299,gauge_9,10.36,13.8,0.186551,8.45632e-10,-2.94899e-10,-0.186551
0.0159719,gauge_9,10.36,13.8,0.186551,8.58092e-10,-2.99426e-10,-0.186551
0.0162139,gauge_9,10.36,13.8,0.186551,8.70535e-10,-3.03952e-10,-0.186551
0.0164559,gauge_9,10.36,13.8,0.186551,8.82961e-10,-3.08477e-10,-0.186551
0.0166979,gauge_9,10.36,13.8,0.186551,8.9537e-10,-3.13e-10,-0.186551
0.0169399,gauge_9,10.36,13.8,0.186551,9.07762e-10,-3.17522e-10,-0.186551
0.0171819,gauge_9,10.36,13.8,0.186551,9.20137e-10,-3.22042e-10,-0.186551
0.0174239,gauge_9,10.36,13.8,0.186551,9.32494e-10,-3.2656e-10,-0.186551
0.0176659,gauge_9,10.36,13.8,0.186551,9.44835e-10,-3.31077e-10,-0.186551
0.0179079,gauge_9,10.36,13.8,0.186551,9.57158e-10,-3.35592e-10,-0.186551
0.0181499,gauge_9,10.36,13.8,0.186551,9.69464e-10,-3.40106e-10,-0.186551
0.0183919,gauge_9,10.36,13.8,0.186551,9.81753e-10,-3.44617e-10,-0.186551
0.0186339,gauge_9,10.36,13.8,0.186551,9.94025e-10,-3.49127e-10,-0.186551
0.0188759,gauge_9,10.36,13.8,0.186551,1.00628e-09,-3.53635e-10,-0.186551
0.0191179,gauge_9,10.36,13.8,0.186551,1.01852e-09,-3.58141e-10,-0.186551
0.0193599,gauge_9,10.36,13.8,0.186551,1.03074e-09,-3.62645e-10,-0.186551
0.0196019,gauge_9,10.36,13.8,0.186551,1.04294e-09,-3.67148e-10,-0.186551
0.0198439,gauge_9,10.36,13.8,0.186551,1.05513e-09,-3.71648e-10,-0.186551
0.0200859,gauge_9,10.36,13.8,0.186551,1.06729e-09,-3.76146e-10,-0.186551
0.0203279,gauge_9,10.36,13.8,0.186551,1.07945e-09,-3.80642e-10,-0.186551
0.0205699,gauge_9,10.36,13.8,0.186551,1.09158e-09,-3.85136e-10,-0.186551
0.0208119,gauge_9,10.36,13.8,0.186551,1.1037e-09,-3.89628e-10,-0.186551
0.0210539,gauge_9,10.36,13.8,0.186551,1.1158e-09,-3.94118e-10,-0.186551
0.0212959,gauge_9,10.36,13.8,0.186551,1.12788e-09,-3.98605e-10,-0.186551
0.0215379,gauge_9,10.36,13.8,0.186551,1.13994e-09,-4.0309e-10,-0.186551
0.0217799,gauge_9,10.36,13.8,0.186551,1.15199e-09,-4.07573e-10,-0.186551
0.0220219,gauge_9,10.36,13.8,0.186551,1.16402e-09,-4.12053e-10,-0.186551
0.0222639,gauge_9,10.36,13.8,0.186551,1.17604e-09,-4.16532e-10,-0.186551
0.0225059,gauge_9,10.36,13.8,0.186551,1.18803e-09,-4.21007e-10,-0.186551
0.0227479,gauge_9,10.36,13.8,0.186551,1.20001e-09,-4.2548e-10,-0.186551
0.0229899,gauge_9,10.36,13.8,0.186551,1.21197e-09,-4.29951e-10,-0.186551
0.0232319,gauge_9,10.36,13.8,0.186551,1.22392e-09,-4.34419e-10,-0.186551
0.0234739,gauge_9,10.36,13.8,0.186551,1.23584e-09,-4.38885e-10,-0.186551
0.0237159,gauge_9,10.36,13.8,0.186551,1.24775e-09,-4.43348e-10,-0.186551
0.0239579,gauge_9,10.36,13.8,0.186551,1.25965e-09,-4.47808e-10,-0.186551
0.0241999,gauge_9,10.36,13.8,0.186551,1.27152e-09,-4.52266e-10,-0.186551
0.0244419,gauge_9,10.36,13.8,0.186551,1.28338e-09,-4.56721e-10,-0.186551
0.0246839,gauge_9,10.36,13.8,0.186551,1.29522e-09,-4.61174e-10,-0.186551
0.0249259,gauge_9,10.36,13.8,0.186551,1.30705e-09,-4.65623e-10,-0.186551
0.0251679,gauge_9,10.36,13.8,0.186551,1.31885e-09,-4.7007e-10,-0.186551
0.0254099,gauge_9,10.36,13.8,0.186551,1.33064e-09,-4.74514e-10,-0.186551
0.0256519,gauge_9,10.36,13.8,0.186551,1.34242e-09,-4.78955e-10,-0.186551
0.0258939,gauge_9,10.36,13.8,0.186551,1.35417e-09,-4.83393e-10,-0.186551
0.0261359,gauge_9,10.36,13.8,0.186551,1.36591e-09,-4.87829e-10,-0.186551
0.0263779,gauge_9,10.36,13.8,0.186551,1.37763e-09,-4.92261e-10,-0.186551
0.0266199,gauge_9,10.36,13.8,0.186551,1.38933e-09,-4.9669e-10,-0.186551
0.0268619,gauge_9,10.36,13.8,0.186551,1.40102e-09,-5.01117e-10,-0.186551
0.0271039,gauge_9,10.36,13.8,0.186551,1.41269e-09,-5.0554e-10,-0.186551
0.0273459,gauge_9,10.36,13.8,0.186551,1.42434e-09,-5.0996e-10,-0.186551
0.0275879,gauge_9,10.36,13.8,0.186551,1.43598e-09,-5.14377e-10,-0.186551
0.0278299,gauge_9,10.36,13.8,0.186551,1.44759e-09,-5.18791e-10,-0.186551
0.0280719,gauge_9,10.36,13.8,0.186551,1.45919e-09,-5.23202e-10,-0.186551
0.0283138,gauge_9,10.36,13.8,0.186551,1.47078e-09,-5.2761e-10,-0.186551
0.0285558,gauge_9,10.36,13.8,0.186551,1.48235e-09,-5.32014e-10,-0.186551
0.0287978,gauge_9,10.36,13.8,0.186551,1.49389e-09,-5.36415e-10,-0.186551
0.0290398,gauge_9,10.36,13.8,0.186551,1.50543e-09,-5.40813e-10,-0.186551
0.0292818,gauge_9,10.36,13.8,0.186551,1.51694e-09,-5.45208e-10,-0.186551
0.0295238,gauge_9,10.36,13.8,0.186551,1.52844e-09,-5.49599e-10,-0.186551
0.0297658,gauge_9,10.36,13.8,0.186551,1.53992e-09,-5.53987e-10,-0.186551
0.0300078,gauge_9,10.36,13.8,0.186551,1.55139e-09,-5.58371e-10,-0.186551
0.0302498,gauge_9,10.36,13.8,0.186551,1.56283e-09,-5.62752e-10,-0.186551
0.0304918,gauge_9,10.36,13.8,0.186551,1.57426e-09,-5.6713e-10,-0.186551
0.0307338,gauge_9,10.36,13.8,0.186551,1.58568e-09,-5.71504e-10,-0.186551
0.0309758,gauge_9,10.36,13.8,0.186551,1.59707e-09,-5.75874e-10,-0.186551
0.0312178,gauge_9,10.36,13.8,0.186551,1.60845e-09,-5.80241e-10,-0.186551
0.0314598,gauge_9,10.36,13.8,0.186551,1.61982e-09,-5.84605e-10,-0.186551
0.0317018,gauge_9,10.36,13.8,0.186551,1.63116e-09,-5.88965e-10,-0.186551
0.0319438,gauge_9,10.36,13.8,0.186551,1.64249e-09,-5.93321e-10,-0.186551
0.0321858,gauge_9,10.36,13.8,0.186551,1.6538e-09,-5.97674e-10,-0.186551
0.0324278,gauge_9,10.36,13.8,0.186551,1.6651e-09,-6.02023e-10,-0.186551
0.0326698,gauge_9,10.36,13.8,0.186551,1.67637e-09,-6.06368e-10,-0.186551
0.0329118,gauge_9,10.36,13.8,0.186551,1.68764e-09,-6.1071e-10,-0.186551
0.0331538,gauge_9,10.36,13.8,0.186551,1.69888e-09,-6.15047e-10,-0.186551
0.0333958,gauge_9,10.36,13.8,0.186551,1.71011e-09,-6.19381e-10,-0.186551
0.0336378,gauge_9,10.36,13.8,0.186551,1.72132e-09,-6.23712e-10,-0.186551
0.0338798,gauge_9,10.36,13.8,0.186551,1.73251e-09,-6.28038e-10,-0.186551
0.0341218,gauge_9,10.36,13.8,0.186551,1.74369e-09,-6.32361e-10,-0.186551
0.0343638,gauge_9,10.36,13.8,0.186551,1.75485e-09,-6.3668e-10,-0.186551
0.0346058,gauge_9,10.36,13.8,0.186551,1.766e-09,-6.40994e-10,-0.186551
0.0348478,gauge_9,10.36,13.8,0.186551,1.77713e-09,-6.45305e-10,-0.186551
0.0350898,gauge_9,10.36,13.8,0.186551,1.78824e-09,-6.49612e-10,-0.186551
0.0353318,gauge_9,10.36,13.8,0.186551,1.79933e-09,-6.53916e-10,-0.186551
0.0355738,gauge_9,10.36,13.8,0.186551,1.81041e-09,-6.58215e-10,-0.186551
0.0358158,gauge_9,10.36,13.8,0.186551,1.82147e-09,-6.6251e-10,-0.186551
0.0360578,gauge_9,10.36,13.8,0.186551,1.83252e-09,-6.66801e-10,-0.186551
0.0362998,gauge_9,10.36,13.8,0.186551,1.84355e-09,-6.71088e-10,-0.186551
0.0365418,gauge_9,10.36,13.8,0.186551,1.85456e-09,-6.75371e-10,-0.186551
0.0367838,gauge_9,10.36,13.8,0.186551,1.86556e-09,-6.7965e-10,-0.186551
0.0370258,gauge_9,10.36,13.8,0.186551,1.87654e-09,-6.83925e-10,-0.186551
0.0372678,gauge_9,10.36,13.8,0.186551,1.8875e-09,-6.88195e-10,-0.186551
0.0375098,gauge_9,10.36,13.8,0.186551,1.89845e-09,-6.92462e-10,-0.186551
0.0377518,gauge_9,10.36,13.8,0.186551,1.90938e-09,-6.96724e-10,-0.186551
0.0379938,gauge_9,10.36,13.8,0.186551,1.9203e-09,-7.00982e-10,-0.186551
0.0382358,gauge_9,10.36,13.8,0.186551,1.9312e-09,-7.05236e-10,-0.186551
0.0384778,gauge_9,10.36,13.8,0.186551,1.94208e-09,-7.09486e-10,-0.186551
0.0387198,gauge_9,10.36,13.8,0.186551,1.95295e-09,-7.13732e-10,-0.186551
0.0389618,gauge_9,10.36,13.8,0.186551,1.9638e-09,-7.17973e-10,-0.186551
0.0392038,gauge_9,10.36,13.8,0.186551,1.97464e-09,-7.2221e-10,-0.186551
0.0394458,gauge_9,10.36,13.8,0.186551,1.98546e-09,-7.26442e-10,-0.186551
0.0396878,gauge_9,10.36,13.8,0.186551,1.99627e-09,-7.30671e-10,-0.186551
0.0399298,gauge_9,10.36,13.8,0.186551,2.00706e-09,-7.34895e-10,-0.186551
0.0401718,gauge_9,10.36,13.8,0.186551,2.01783e-09,-7.39114e-10,-0.186551
0.0404138,gauge_9,10.36,13.8,0.186551,2.02859e-09,-7.43329e-10,-0.186551
0.0406558,gauge_9,10.36,13.8,0.186551,2.03934e-09,-7.4754e-10,-0.186551
0.0408978,gauge_9,10.36,13.8,0.186551,2.05006e-09,-7.51746e-10,-0.186551
0.0411398,gauge_9,10.36,13.8,0.186551,2.06078e-09,-7.55948e-10,-0.186551
0.0413818,gauge_9,10.36,13.8,0.186551,2.07148e-09,-7.60146e-10,-0.186551
0.0416238,gauge_9,10.36,13.8,0.186551,2.08216e-09,-7.64339e-10,-0.186551
0.0418658,gauge_9,10.36,13.8,0.186551,2.09283e-09,-7.68527e-10,-0.186551
0.0421078,gauge_9,10.36,13.8,0.186551,2.10348e-09,-7.72711e-10,-0.186551
0.0423498,gauge_9,10.36,13.8,0.186551,2.11412e-09,-7.7689e-10,-0.186551
0.0425918,gauge_9,10.36,13.8,0.186551,2.12474e-09,-7.81065e-10,-0.186551
0.0428338,gauge_9,10.36,13.8,0.186551,2.13535e-09,-7.85235e-10,-0.186551
0.0430758,gauge_9,10.36,13.8,0.186551,2.14595e-09,-7.89401e-10,-0.186551
0.0433178,gauge_9,10.36,13.8,0.186551,2.15653e-09,-7.93562e-10,-0.186551
0.0435598,gauge_9,10.36,13.8,0.186551,2.1671e-09,-7.97719e-10,-0.186551
0.0438018,gauge_9,10.36,13.8,0.186551,2.17765e-09,-8.0187e-10,-0.186551
0.0440438,gauge_9,10.36,13.8,0.186551,2.18819e-09,-8.06018e-10,-0.186551
0.0442858,gauge_9,10.36,13.8,0.186551,2.19871e-09,-8.1016e-10,-0.186551
0.0445278,gauge_9,10.36,13.8,0.186551,2.20922e-09,-8.14298e-10,-0.186551
0.0447698,gauge_9,10.36,13.8,0.186551,2.21972e-09,-8.18431e-10,-0.186551
0.0450118,gauge_9,10.36,13.8,0.186551,2.2302e-09,-8.22559e-10,-0.186551
0.0452537,gauge_9,10.36,13.8,0.186551,2.24067e-09,-8.26683e-10,-0.186551
0.0454957,gauge_9,10.36,13.8,0.186551,2.25113e-09,-8.30802e-10,-0.186551
0.0457377,gauge_9,10.36,13.8,0.186551,2.26157e-09,-8.34916e-10,-0.186551
0.0459797,gauge_9,10.36,13.8,0.186551,2.272e-09,-8.39026e-10,-0.186551
0.0462217,gauge_9,10.36,13.8,0.186551,2.28241e-09,-8.4313e-10,-0.186551
0.0464637,gauge_9,10.36,13.8,0.186551,2.29282e-09,-8.4723e-10,-0.186551
0.0467057,gauge_9,10.36,13.8,0.186551,2.30321e-09,-8.51325e-10,-0.186551
0.0469477,gauge_9,10.36,13.8,0.186551,2.31359e-09,-8.55415e-10,-0.186551
0.0471897,gauge_9,10.36,13.8,0.186551,2.32395e-09,-8.595e-10,-0.186551
0.0474317,gauge_9,10.36,13.8,0.186551,2.3343e-09,-8.63581e-10,-0.186551
0.0476737,gauge_9,10.36,13.8,0.186551,2.34465e-09,-8.67657e-10,-0.186551
0.0479157,gauge_9,10.36,13.8,0.186551,2.35497e-09,-8.71727e-10,-0.186551
0.0481577,gauge_9,10.36,13.8,0.186551,2.36529e-09,-8.75793e-10,-0.186551
0.0483997,gauge_9,10.36,13.8,0.186551,2.3756e-09,-8.79854e-10,-0.186551
0.0486417,gauge_9,10.36,13.8,0.186551,2.38589e-09,-8.8391e-10,-0.186551
0.0488837,gauge_9,10.36,13.8,0.186551,2.39617e-09,-8.87961e-10,-0.186551
0.0491257,gauge_9,10.36,13.8,0.186551,2.40644e-09,-8.92007e-10,-0.186551
0.0493677,gauge_9,10.36,13.8,0.186551,2.4167e-09,-8.96048e-10,-0.186551
0.0496097,gauge_9,10.36,13.8,0.186551,2.42695e-09,-9.00084e-10,-0.186551
0.0498517,gauge_9,10.36,13.8,0.186551,2.43719e-09,-9.04115e-10,-0.186551
0.0500937,gauge_9,10.36,13.8,0.186551,2.44742e-09,-9.08142e-10,-0.186551
0.0503357,gauge_9,10.36,13.8,0.186551,2.45764e-09,-9.12163e-10,-0.186551
