x,y,height,momentum_x,bathymetry
0.5,0.5,0.058549,1.98608e-05,0
1.5,0.5,0.0585339,3.13013e-05,0
2.5,0.5,0.0585116,4.8155e-05,0
3.5,0.5,0.0584796,7.23202e-05,0
4.5,0.5,0.058435,0.000106055,0
5.5,0.5,0.0583742,0.000151914,0
6.5,0.5,0.0582935,0.000212647,0
7.5,0.5,0.0581891,0.000291032,0
8.5,0.5,0.0580573,0.000389699,0
9.5,0.5,0.0578947,0.00051095,0
10.5,0.5,0.0576984,0.000656574,0
11.5,0.5,0.0574663,0.000827718,0
12.5,0.5,0.0571972,0.00102482,0
13.5,0.5,0.0568907,0.00124757,0
14.5,0.5,0.0565471,0.001495,0
15.5,0.5,0.0561677,0.00176552,0
16.5,0.5,0.0557541,0.00205708,0
17.5,0.5,0.0553086,0.00236725,0
18.5,0.5,0.0548338,0.00269341,0
19.5,0.5,0.0543326,0.00303282,0
20.5,0.5,0.0538078,0.0033827,0
21.5,0.5,0.0532624,0.00374037,0
22.5,0.5,0.0526995,0.00410322,0
23.5,0.5,0.0521218,0.00446881,0
24.5,0.5,0.0515321,0.00483485,0
25.5,0.5,0.0509333,0.0051992,0
26.5,0.5,0.0503281,0.00555988,0
27.5,0.5,0.0497192,0.00591507,0
28.5,0.5,0.0491092,0.00626304,0
29.5,0.5,0.048501,0.00660217,0
30.5,0.5,0.0478975,0.00693092,0
31.5,0.5,0.0473018,0.00724777,0
32.5,0.5,0.0467173,0.00755124,0
33.5,0.5,0.0461479,0.0078398,0
34.5,0.5,0.0455978,0.00811192,0
35.5,0.5,0.0450716,0.00836599,0
36.5,0.5,0.0445747,0.00860041,0
37.5,0.5,0.0441125,0.00881353,0
38.5,0.5,0.0436909,0.00900382,0
39.5,0.5,0.0433155,0.00916997,0
40.5,0.5,0.0429909,0.00931105,0
41.5,0.5,0.0427203,0.00942682,0
42.5,0.5,0.0425046,0.00951792,0
43.5,0.5,0.0423415,0.00958605,0
44.5,0.5,0.0422257,0.00963396,0
45.5,0.5,0.0421494,0.00966521,0
46.5,0.5,0.0421037,0.00968376,0
47.5,0.5,0.0420794,0.00969343,0
48.5,0.5,0.0420688,0.00969745,0
49.5,0.5,0.0420659,0.00969828,0
50.5,0.5,0.0420668,0.00969754,0
51.5,0.5,0.0420692,0.00969614,0
52.5,0.5,0.042072,0.00969459,0
53.5,0.5,0.0420747,0.00969307,0
54.5,0.5,0.0420772,0.00969165,0
55.5,0.5,0.0420793,0.00969034,0
56.5,0.5,0.0420812,0.00968911,0
57.5,0.5,0.0420828,0.00968796,0
58.5,0.5,0.0420843,0.00968688,0
59.5,0.5,0.0420856,0.00968586,0
60.5,0.5,0.0420868,0.00968487,0
61.5,0.5,0.0420878,0.00968393,0
62.5,0.5,0.0420886,0.00968301,0
63.5,0.5,0.0420894,0.00968212,0
64.5,0.5,0.0420901,0.00968126,0
65.5,0.5,0.0420907,0.0096804,0
66.5,0.5,0.0420912,0.00967956,0
67.5,0.5,0.0420916,0.00967873,0
68.5,0.5,0.0420919,0.0096779,0
69.5,0.5,0.0420922,0.00967708,0
70.5,0.5,0.0420924,0.00967625,0
71.5,0.5,0.0420925,0.00967542,0
72.5,0.5,0.0420925,0.00967459,0
73.5,0.5,0.0420925,0.00967374,0
74.5,0.5,0.0420924,0.00967287,0
75.5,0.5,0.0420923,0.00967199,0
76.5,0.5,0.042092,0.00967108,0
77.5,0.5,0.0420917,0.00967015,0
78.5,0.5,0.0420914,0.00966919,0
79.5,0.5,0.0420909,0.00966819,0
80.5,0.5,0.0420904,0.00966716,0
81.5,0.5,0.0420898,0.00966608,0
82.5,0.5,0.0420891,0.00966494,0
83.5,0.5,0.0420883,0.00966373,0
84.5,0.5,0.0420873,0.00966244,0
85.5,0.5,0.0420862,0.00966102,0
86.5,0.5,0.0420849,0.00965939,0
87.5,0.5,0.0420831,0.00965739,0
88.5,0.5,0.0420804,0.00965471,0
89.5,0.5,0.0420763,0.00965069,0
90.5,0.5,0.0420691,0.00964406,0
91.5,0.5,0.0420559,0.00963235,0
92.5,0.5,0.0420314,0.00961092,0
93.5,0.5,0.0419855,0.00957135,0
94.5,0.5,0.0419,0.00949867,0
95.5,0.5,0.0417433,0.0093672,0
96.5,0.5,0.0414628,0.00913483,0
97.5,0.5,0.040978,0.00873741,0
98.5,0.5,0.0401801,0.00808975,0
99.5,0.5,0.0389553,0.00710897,0
