sim_time,name,x,y,height,momentum_x,momentum_y,bathymetry
0,soma,315,2710,20,0,0,-20.7864
0.00157536,soma,315,2710,20,0.00168696,-7.24879e-05,-20.7864
0.00315072,soma,315,2710,20,0.00337451,-0.000146744,-20.7864
0.00472608,soma,315,2710,20,0.00506254,-0.000222835,-20.7864
0.00630144,soma,315,2710,20,0.00675096,-0.000300728,-20.7864
0.0078768,soma,315,2710,20,0.00843977,-0.000380105,-20.7864
0.00945215,soma,315,2710,20,0.0101293,-0.000461228,-20.7864
0.0110275,soma,315,2710,20,0.0118189,-0.000544063,-20.7864
0.0126029,soma,315,2710,20,0.0135085,-0.000628675,-20.7864
0.0141782,soma,315,2710,20,0.0151983,-0.000715224,-20.7864
0.0157536,soma,315,2710,20,0.0168883,-0.000803668,-20.7864
0.017329,soma,315,2710,20,0.0185785,-0.000893202,-20.7864
0.0189043,soma,315,2710,20,0.0202691,-0.000984288,-20.7864
0.0204797,soma,315,2710,20,0.0219597,-0.00107622,-20.7864
0.022055,soma,315,2710,20,0.0236506,-0.001169,-20.7864
0.0236304,soma,315,2710,20,0.0253417,-0.00126259,-20.7864
0.0252057,soma,315,2710,20,0.027033,-0.00135699,-20.7864
0.0267811,soma,315,2710,20,0.0287246,-0.00145239,-20.7864
0.0283565,soma,315,2710,20,0.030416,-0.00154895,-20.7864
0.0299318,soma,315,2710,19.9999,0.0321073,-0.00164637,-20.7864
0.0315072,soma,315,2710,19.9999,0.0337989,-0.00174493,-20.7864
0.0330825,soma,315,2710,19.9999,0.0354908,-0.00184413,-20.7864
0.0346579,soma,315,2710,19.9999,0.0371826,-0.00194416,-20.7864
0.0362333,soma,315,2710,19.9999,0.0388747,-0.00204491,-20.7864
0.0378086,soma,315,2710,19.9999,0.040567,-0.00214657,-20.7864
0.039384,soma,315,2710,19.9999,0.0422594,-0.00224893,-20.7864
0.0409593,soma,315,2710,19.9999,0.043952,-0.00235209,-20.7864
0.0425347,soma,315,2710,19.9999,0.0456445,-0.00245593,-20.7864
0.04411,soma,315,2710,19.9999,0.0473367,-0.00256055,-20.7864
0.0456854,soma,315,2710,19.9999,0.049029,-0.00266584,-20.7864
0.0472608,soma,315,2710,19.9999,0.0507215,-0.0027717,-20.7864
0.0488361,soma,315,2710,19.9999,0.052414,-0.0028783,-20.7864
0.0504115,soma,315,2710,19.9999,0.0541066,-0.00298554,-20.7864
0.0519868,soma,315,2710,19.9999,0.0557992,-0.00309332,-20.7864
0.0535622,soma,315,2710,19.9999,0.0574917,-0.00320211,-20.7864
0.0551375,soma,315,2710,19.9999,0.059184,-0.00331179,-20.7864
0.0567129,soma,315,2710,19.9999,0.0608759,-0.00342245,-20.7864
0.0582883,soma,315,2710,19.9999,0.0625673,-0.00353397,-20.7864
0.0598636,soma,315,2710,19.9999,0.0642584,-0.00364624,-20.7864
0.061439,soma,315,2710,19.9999,0.0659492,-0.00375954,-20.7864
0.0630143,soma,315,2710,19.9999,0.0676394,-0.00387365,-20.7864
0.0645897,soma,315,2710,19.9999,0.0693291,-0.00398866,-20.7864
0.0661651,soma,315,2710,19.9999,0.0710185,-0.00410426,-20.7864
0.0677404,soma,315,2710,19.9999,0.0727068,-0.00422103,-20.7864
0.0693158,soma,315,2710,19.9999,0.074394,-0.00433884,-20.7864
0.0708911,soma,315,2710,19.9999,0.0760799,-0.0044575,-20.7864
0.0724665,soma,315,2710,19.9999,0.0777647,-0.0045769,-20.7864
0.0740419,soma,315,2710,19.9999,0.0794482,-0.00469731,-20.7864
0.0756172,soma,315,2710,19.9998,0.0811306,-0.00481834,-20.7864
0.0771926,soma,315,2710,19.9998,0.0828119,-0.00494048,-20.7864
0.0787679,soma,315,2710,19.9998,0.0844918,-0.00506371,-20.7864
0.0803433,soma,315,2710,19.9998,0.0861698,-0.00518782,-20.7864
0.0819186,soma,315,2710,19.9998,0.0878462,-0.00531299,-20.7864
0.083494,soma,315,2710,19.9998,0.0895208,-0.00543912,-20.7864
0.0850694,soma,315,2710,19.9998,0.0911941,-0.00556621,-20.7864
0.0866447,soma,315,2710,19.9998,0.0928656,-0.00569453,-20.7864
0.0882201,soma,315,2710,19.9998,0.0945351,-0.00582416,-20.7864
0.0897954,soma,315,2710,19.9998,0.0962027,-0.00595511,-20.7864
0.0913708,soma,315,2710,19.9998,0.0978684,-0.00608715,-20.7864
0.0929461,soma,315,2710,19.9998,0.0995326,-0.00622087,-20.7864
0.0945215,soma,315,2710,19.9998,0.101195,-0.00635575,-20.7864
0.0960969,soma,315,2710,19.9997,0.102855,-0.0064918,-20.7864
0.0976722,soma,315,2710,19.9997,0.104514,-0.0066291,-20.7864
0.0992476,soma,315,2710,19.9997,0.106171,-0.00676782,-20.7864
0.100823,soma,315,2710,19.9997,0.107825,-0.00690797,-20.7864
0.102398,soma,315,2710,19.9997,0.109477,-0.00704953,-20.7864
0.103974,soma,315,2710,19.9997,0.111127,-0.00719257,-20.7864
0.105549,soma,315,2710,19.9997,0.112775,-0.007337,-20.7864
0.107124,soma,315,2710,19.9997,0.11442,-0.0074828,-20.7864
0.1087,soma,315,2710,19.9997,0.116061,-0.00763034,-20.7864
0.110275,soma,315,2710,19.9996,0.117701,-0.0077792,-20.7864
0.11185,soma,315,2710,19.9996,0.119337,-0.0079288,-20.7864
0.113426,soma,315,2710,19.9996,0.12097,-0.00807991,-20.7864
0.115001,soma,315,2710,19.9996,0.1226,-0.00823222,-20.7864
0.116577,soma,315,2710,19.9996,0.124227,-0.00838592,-20.7864
0.118152,soma,315,2710,19.9996,0.12585,-0.00854091,-20.7864
0.119727,soma,315,2710,19.9996,0.127469,-0.00869727,-20.7864
0.121303,soma,315,2710,19.9996,0.129084,-0.00885508,-20.7864
0.122878,soma,315,2710,19.9995,0.130696,-0.00901472,-20.7864
0.124453,soma,315,2710,19.9995,0.132304,-0.00917578,-20.7864
0.126029,soma,315,2710,19.9995,0.133908,-0.00933807,-20.7864
0.127604,soma,315,2710,19.9995,0.135509,-0.00950204,-20.7864
0.129179,soma,315,2710,19.9995,0.137106,-0.00966711,-20.7864
0.130755,soma,315,2710,19.9995,0.138698,-0.00983375,-20.7864
0.13233,soma,315,2710,19.9995,0.140287,-0.0100019,-20.7864
0.133906,soma,315,2710,19.9994,0.141872,-0.010171,-20.7864
0.135481,soma,315,2710,19.9994,0.143452,-0.0103418,-20.7864
0.137056,soma,315,2710,19.9994,0.145029,-0.010514,-20.7864
0.138632,soma,315,2710,19.9994,0.146601,-0.0106877,-20.7864
0.140207,soma,315,2710,19.9994,0.148169,-0.0108625,-20.7864
0.141782,soma,315,2710,19.9994,0.149733,-0.0110389,-20.7864
0.143358,soma,315,2710,19.9993,0.151293,-0.0112168,-20.7864
0.144933,soma,315,2710,19.9993,0.152849,-0.0113959,-20.7864
0.146508,soma,315,2710,19.9993,0.1544,-0.0115766,-20.7864
0.148084,soma,315,2710,19.9993,0.155948,-0.011759,-20.7864
0.149659,soma,315,2710,19.9993,0.157492,-0.0119432,-20.7864
0.151235,soma,315,2710,19.9993,0.159032,-0.0121289,-20.7864
0.15281,soma,315,2710,19.9993,0.160568,-0.0123164,-20.7864
0.154385,soma,315,2710,19.9992,0.1621,-0.0125052,-20.7864
0.155961,soma,315,2710,19.9992,0.163627,-0.0126958,-20.7864
0.157536,soma,315,2710,19.9992,0.16515,-0.012888,-20.7864
0.159111,soma,315,2710,19.9992,0.166669,-0.0130818,-20.7864
0.160687,soma,315,2710,19.9992,0.168184,-0.013277,-20.7864
0.162262,soma,315,2710,19.9991,0.169694,-0.0134737,-20.7864
0.163837,soma,315,2710,19.9991,0.171199,-0.0136723,-20.7864
0.165413,soma,315,2710,19.9991,0.172701,-0.0138729,-20.7864
0.166988,soma,315,2710,19.9991,0.174198,-0.0140746,-20.7864
0.168564,soma,315,2710,19.9991,0.17569,-0.014278,-20.7864
0.170139,soma,315,2710,19.999,0.177179,-0.0144833,-20.7864
0.171714,soma,315,2710,19.999,0.178663,-0.0146904,-20.7864
0.17329,soma,315,2710,19.999,0.180144,-0.0148994,-20.7864
0.174865,soma,315,2710,19.999,0.181619,-0.0151099,-20.7864
0.17644,soma,315,2710,19.999,0.18309,-0.015322,-20.7864
0.178016,soma,315,2710,19.9989,0.184555,-0.0155355,-20.7864
0.179591,soma,315,2710,19.9989,0.186017,-0.0157505,-20.7864
0.181166,soma,315,2710,19.9989,0.187473,-0.0159671,-20.7864
0.182742,soma,315,2710,19.9989,0.188925,-0.016185,-20.7864
