x,y,height,momentum_x
0.5,0.5,1,5
1.5,0.5,1,5
2.5,0.5,1,5
3.5,0.5,1,5
4.5,0.5,1,5
5.5,0.5,1,5
6.5,0.5,1,5
7.5,0.5,1,5
8.5,0.5,1,5
9.5,0.5,1.2412,4.72185
10.5,0.5,2.76061,1.57128
11.5,0.5,2.91318,0.451727
12.5,0.5,2.84832,0.0926914
13.5,0.5,2.92116,0.542907
14.5,0.5,2.92082,0.528731
15.5,0.5,2.89939,0.142215
16.5,0.5,2.92223,0.232335
17.5,0.5,2.91263,0.601534
18.5,0.5,2.86717,0.460818
19.5,0.5,2.87903,0.369037
20.5,0.5,2.88718,0.684706
21.5,0.5,2.89372,0.480654
22.5,0.5,2.92022,0.198193
23.5,0.5,2.89108,0.535604
24.5,0.5,2.9422,0.321119
25.5,0.5,2.97535,-0.0487573
26.5,0.5,2.90103,0.402825
27.5,0.5,2.809,0.967806
28.5,0.5,2.95366,0.0888947
29.5,0.5,2.87865,0.235901
30.5,0.5,1.8906,-2.69849
31.5,0.5,1,-5
32.5,0.5,1,-5
33.5,0.5,1,-5
34.5,0.5,1,-5
35.5,0.5,1,-5
36.5,0.5,1,-5
37.5,0.5,1,-5
38.5,0.5,1,-5
39.5,0.5,1,-5
