sim_time,name,x,y,height,momentum_x,momentum_y,bathymetry
0,station1_2d,20,50,50,0,0,-50
0.0159638,station1_2d,20,50,50,0,0,-50
0.0319275,station1_2d,20,50,50,0,0,-50
0.0478913,station1_2d,20,50,50,0,0,-50
0.0638551,station1_2d,20,50,50,0,0,-50
0.0798189,station1_2d,20,50,50,0,0,-50
0.0957826,station1_2d,20,50,50,0,0,-50
0.111746,station1_2d,20,50,50,0,0,-50
0.12771,station1_2d,20,50,50,0,0,-50
0.143674,station1_2d,20,50,50,0,0,-50
0.159638,station1_2d,20,50,50,0,0,-50
0.175602,station1_2d,20,50,50,0,0,-50
0.191565,station1_2d,20,50,50,0,0,-50
0.207529,station1_2d,20,50,50,0,0,-50
0.223493,station1_2d,20,50,50,0,0,-50
0.239457,station1_2d,20,50,50,0,0,-50
0.25542,station1_2d,20,50,50,0,0,-50
0.271384,station1_2d,20,50,50,0,0,-50
0.287348,station1_2d,20,50,50,0,0,-50
0.303312,station1_2d,20,50,50,0,0,-50
0.319275,station1_2d,20,50,50,-1.47155e-07,0,-50
0.335239,station1_2d,20,50,50,-5.11334e-06,0,-50
0.351203,station1_2d,20,50,50,-6.33583e-05,0,-50
0.367167,station1_2d,20,50,50,-0.000253591,0,-50
0.38313,station1_2d,20,50,50,-0.000918522,0,-50
0.399094,station1_2d,20,50,50.0001,-0.00298427,0,-50
0.415058,station1_2d,20,50,50.0004,-0.00869101,-7.27596e-12,-50
0.431022,station1_2d,20,50,50.001,-0.0231211,0,-50
0.446986,station1_2d,20,50,50.0025,-0.0571869,0,-50
0.462949,station1_2d,20,50,50.0058,-0.132362,0,-50
0.478913,station1_2d,20,50,50.0127,-0.288812,0,-50
0.494877,station1_2d,20,50,50.0264,-0.59805,0,-50
0.510841,station1_2d,20,50,50.0521,-1.18096,0,-50
0.526804,station1_2d,20,50,50.0985,-2.23357,0,-50
0.542768,station1_2d,20,50,50.1787,-4.06052,0,-50
0.558732,station1_2d,20,50,50.3122,-7.11489,0,-50
0.574696,station1_2d,20,50,50.5257,-12.0389,0,-50
0.59066,station1_2d,20,50,50.8534,-19.6894,0,-50
0.606623,station1_2d,20,50,51.335,-31.119,0,-50
0.622587,station1_2d,20,50,52.0087,-47.4681,0,-50
0.638551,station1_2d,20,50,52.9006,-69.7257,0,-50
0.654515,station1_2d,20,50,54.0104,-98.3627,7.689e-06,-50
0.670479,station1_2d,20,50,55.3004,-132.944,2.03252e-05,-50
0.686442,station1_2d,20,50,56.6956,-171.922,3.63588e-05,-50
0.702406,station1_2d,20,50,58.0962,-212.809,2.28882e-05,-50
0.71837,station1_2d,20,50,59.4011,-252.711,1.56164e-05,-50
0.734334,station1_2d,20,50,60.5301,-289.017,-1.97887e-05,-50
0.750297,station1_2d,20,50,61.4361,-319.906,-1.69277e-05,-50
0.766261,station1_2d,20,50,62.1059,-344.537,-1.97887e-05,-50
0.782225,station1_2d,20,50,62.5519,-362.911,-1.83582e-05,-50
0.798189,station1_2d,20,50,62.8017,-375.603,-1.3113e-05,-50
0.814153,station1_2d,20,50,62.8889,-383.461,-8.10623e-06,-50
0.830116,station1_2d,20,50,62.8464,-387.397,-6.4373e-06,-50
0.84608,station1_2d,20,50,62.7035,-388.249,7.15256e-06,-50
0.862044,station1_2d,20,50,62.4842,-386.723,1.07288e-05,-50
0.878008,station1_2d,20,50,62.2074,-383.382,-2.26498e-05,-50
0.893972,station1_2d,20,50,61.8875,-378.655,-4.76837e-05,-50
0.909935,station1_2d,20,50,61.5353,-372.859,-5.45979e-05,-50
0.925899,station1_2d,20,50,61.1585,-366.226,-3.26633e-05,-50
0.941863,station1_2d,20,50,60.7627,-358.921,-8.10623e-06,-50
0.957827,station1_2d,20,50,60.3522,-351.064,-5.00679e-06,-50
0.973791,station1_2d,20,50,59.9301,-342.744,-1.66893e-06,-50
0.989754,station1_2d,20,50,59.4988,-334.03,-2.6226e-05,-50
1.00572,station1_2d,20,50,59.0605,-324.981,-3.8147e-06,-50
1.02168,station1_2d,20,50,58.6172,-315.65,-1.3113e-05,-50
1.03765,station1_2d,20,50,58.1704,-306.088,-3.57628e-06,-50
1.05361,station1_2d,20,50,57.7222,-296.343,4.76837e-07,-50
1.06957,station1_2d,20,50,57.2741,-286.464,3.33786e-05,-50
1.08554,station1_2d,20,50,56.8278,-276.501,2.90871e-05,-50
1.1015,station1_2d,20,50,56.385,-266.499,6.29425e-05,-50
1.11746,station1_2d,20,50,55.9473,-256.505,8.44002e-05,-50
1.13343,station1_2d,20,50,55.516,-246.559,7.22408e-05,-50
1.14939,station1_2d,20,50,55.0925,-236.702,8.79765e-05,-50
1.16536,station1_2d,20,50,54.6778,-226.966,7.65324e-05,-50
1.18132,station1_2d,20,50,54.2731,-217.384,6.87838e-05,-50
1.19728,station1_2d,20,50,53.8791,-207.98,3.21865e-05,-50
